Contract_number	Client_class
130725-092938	1.0
130702-162449	1.0
130730-101447	1.0
130617-122049	2.0
130730-122828	1.0
130627-110422	3.0
130602-102457	1.0
130717-173430	1.0
130708-102910	1.0
130627-153538	2.0
130727-102247	2.0
130701-174012	1.0
130712-165625	2.0
130723-121122	2.0
130723-155808	4.0
130710-164238	1.0
130716-113714	2.0
130619-113902	1.0
130627-160831	1.0
130731-163943	2.0
130713-141022	1.0
130617-133845	1.0
130625-153517	1.0
130714-142626	1.0
130618-124454	1.0
130725-170527	1.0
130617-125328	1.0
130627-152058	1.0
130712-152926	1.0
130616-115449	2.0
130626-134046	1.0
130712-140947	2.0
130608-104235	1.0
130708-114804	1.0
130601-091848	1.0
130614-100859	1.0
130628-163535	1.0
130714-141153	1.0
130730-131033	1.0
130709-145530	2.0
130702-113534	1.0
130703-123615	2.0
130727-125708	2.0
130703-095410	1.0
130731-132007	1.0
130728-185736	4.0
130628-155410	1.0
130729-152852	1.0
130626-111819	1.0
130701-155936	1.0
130719-123957	3.0
130722-154158	2.0
130607-181024	1.0
130711-113825	1.0
130719-171656	1.0
130730-141323	1.0
130613-151515	4.0
130609-132130	2.0
130707-140757	2.0
130621-112547	1.0
130629-164501	1.0
130603-174244	1.0
130709-162920	2.0
130727-100249	2.0
130602-161500	1.0
130703-101620	1.0
130628-142514	1.0
130725-141313	1.0
130704-154536	2.0
130727-155608	4.0
130603-171029	1.0
130609-132756	3.0
130617-122505	1.0
130701-121336	1.0
130729-114146	1.0
130703-165312	1.0
130714-103749	1.0
130724-165614	1.0
130703-150551	1.0
130709-111537	1.0
130608-105352	1.0
130628-112523	1.0
130719-142643	1.0
130628-085640	2.0
130715-150656	1.0
130719-104325	1.0
130608-151937	4.0
130605-162445	1.0
130613-143529	1.0
130710-153559	2.0
130701-153147	1.0
130608-101420	2.0
130717-100304	2.0
130613-104407	4.0
130629-153021	3.0
130730-092616	1.0
130620-173223	1.0
130702-173417	1.0
130718-161001	1.0
130727-121129	1.0
130615-093135	1.0
130719-161503	1.0
130730-155810	1.0
130604-092553	2.0
130623-100050	1.0
130717-115732	1.0
130604-114051	1.0
130618-123720	1.0
130619-143001	1.0
130717-094931	3.0
130611-090808	1.0
130624-140838	1.0
130726-140517	1.0
130701-192339	1.0
130619-180853	2.0
130718-174148	2.0
130731-100107	2.0
130703-163650	2.0
130618-100541	1.0
130713-175410	1.0
130704-112620	2.0
130601-120656	1.0
130702-101642	1.0
130731-114709	1.0
130624-112620	2.0
130723-101744	1.0
130717-095108	1.0
130731-105759	1.0
130601-103122	1.0
130726-155905	1.0
130607-122609	3.0
130607-113756	2.0
130620-110943	2.0
130606-131630	1.0
130722-103529	2.0
130605-175116	1.0
130612-174723	1.0
130630-125929	2.0
130717-152752	2.0
130730-124225	4.0
130603-153515	2.0
130725-140902	3.0
130610-140348	2.0
130726-125739	1.0
130612-103318	1.0
130627-100457	2.0
130711-100835	2.0
130725-163125	3.0
130717-102518	4.0
130628-151550	1.0
130719-125853	2.0
130730-104634	2.0
130606-102432	2.0
130628-130328	4.0
130618-122945	1.0
130717-105419	1.0
130621-093725	2.0
130625-101142	2.0
130607-165635	1.0
130620-103200	1.0
130717-133046	1.0
130719-124605	1.0
130616-085051	1.0
130628-084506	2.0
130724-085332	2.0
130605-104538	1.0
130627-120212	1.0
130605-101745	1.0
130627-103659	1.0
130725-183857	1.0
130617-145513	3.0
130615-150135	1.0
130706-121635	1.0
130726-145227	1.0
130602-165903	2.0
130617-170434	3.0
130616-120331	3.0
